benmark,benign,SDC,crash
IS,0.653,0.083,0.264
LU,0.575,0.174,0.251
Nn,0.513,0.173,0.314
Myocyte,0.741,0.022,0.237
Backprop,0.67,0.016,0.314
CG,0.739,0.139,0.122
MG,0.781,0.008,0.211
BT,0.656,0.164,0.180
SP,0.385,0.306,0.309
DC,0.578,0.060,0.362
Lud,0.760,0.142,0.098
Kmeans,0.843,0.045,0.112
STREAM,0.723,0.066,0.211
Blacksholes,0.663,0.122,0.215
PuReMD,0.350,0.090,0.560
Lulesh,0.634,0.120,0.246
Hotspot,0.714,0.121,0.165
Bfs-rodinia,0.655,0.124,0.221
Nw,0.664,0.140,0.196
Pathfinder,0.623,0.231,0.146